solver,alpha,fraction
bfgs-fd,0.276829,0.000000
bfgs-fd,0.289942,0.000000
bfgs-fd,0.303677,0.000000
bfgs-fd,0.318063,0.000000
bfgs-fd,0.333129,0.000000
bfgs-fd,0.34891,0.000000
bfgs-fd,0.365438,0.000000
bfgs-fd,0.382749,0.000000
bfgs-fd,0.400881,0.000000
bfgs-fd,0.419871,0.000000
bfgs-fd,0.43976,0.000000
bfgs-fd,0.460592,0.000000
bfgs-fd,0.482411,0.000000
bfgs-fd,0.505263,0.000000
bfgs-fd,0.529198,0.000000
bfgs-fd,0.554266,0.000000
bfgs-fd,0.580523,0.000000
bfgs-fd,0.608022,0.000000
bfgs-fd,0.636825,0.000000
bfgs-fd,0.666992,0.000000
bfgs-fd,0.698588,0.000000
bfgs-fd,0.731681,0.000000
bfgs-fd,0.766341,0.000000
bfgs-fd,0.802643,0.000000
bfgs-fd,0.840665,0.000000
bfgs-fd,0.880488,0.000000
bfgs-fd,0.922198,0.000000
bfgs-fd,0.965883,0.000000
bfgs-fd,1.01164,0.000000
bfgs-fd,1.05956,0.000733
bfgs-fd,1.10975,0.000733
bfgs-fd,1.16232,0.001319
bfgs-fd,1.21738,0.001319
bfgs-fd,1.27505,0.001319
bfgs-fd,1.33545,0.001319
bfgs-fd,1.39871,0.001319
bfgs-fd,1.46497,0.001319
bfgs-fd,1.53437,0.001319
bfgs-fd,1.60705,0.001319
bfgs-fd,1.68318,0.001319
bfgs-fd,1.76291,0.001319
bfgs-fd,1.84642,0.001319
bfgs-fd,1.93389,0.001319
bfgs-fd,2.0255,0.001319
bfgs-fd,2.12145,0.002051
bfgs-fd,2.22195,0.003516
bfgs-fd,2.3272,0.003516
bfgs-fd,2.43744,0.003516
bfgs-fd,2.55291,0.003516
bfgs-fd,2.67384,0.003516
bfgs-fd,2.8005,0.003516
bfgs-fd,2.93317,0.003516
bfgs-fd,3.07211,0.004982
bfgs-fd,3.21764,0.005861
bfgs-fd,3.37006,0.006154
bfgs-fd,3.52971,0.006300
bfgs-fd,3.69691,0.006300
bfgs-fd,3.87204,0.006300
bfgs-fd,4.05546,0.006300
bfgs-fd,4.24757,0.006300
bfgs-fd,4.44878,0.006300
bfgs-fd,4.65953,0.006300
bfgs-fd,4.88025,0.006300
bfgs-fd,5.11143,0.006300
bfgs-fd,5.35357,0.006593
bfgs-fd,5.60717,0.006593
bfgs-fd,5.87279,0.006593
bfgs-fd,6.15099,0.006740
bfgs-fd,6.44236,0.006740
bfgs-fd,6.74754,0.006740
bfgs-fd,7.06718,0.006740
bfgs-fd,7.40196,0.006740
bfgs-fd,7.7526,0.006740
bfgs-fd,8.11984,0.006740
bfgs-fd,8.50449,0.006740
bfgs-fd,8.90735,0.006740
bfgs-fd,9.3293,0.006740
bfgs-fd,9.77124,0.006740
bfgs-fd,10.2341,0.006740
bfgs-fd,10.7189,0.006740
bfgs-fd,11.2267,0.006886
bfgs-fd,11.7585,0.008352
bfgs-fd,12.3155,0.008498
bfgs-fd,12.8989,0.008498
bfgs-fd,13.5099,0.008645
bfgs-fd,14.1499,0.008645
bfgs-fd,14.8202,0.008645
bfgs-fd,15.5223,0.009084
bfgs-fd,16.2576,0.009084
bfgs-fd,17.0277,0.009084
bfgs-fd,17.8343,0.009084
bfgs-fd,18.6791,0.009084
bfgs-fd,19.564,0.009084
bfgs-fd,20.4907,0.009084
bfgs-fd,21.4614,0.009084
bfgs-fd,22.4781,0.009084
bfgs-fd,23.5429,0.009084
bfgs-fd,24.6581,0.009084
bfgs-fd,25.8262,0.009084
bfgs-fd,27.0496,0.009084
bfgs-fd,28.331,0.009084
bfgs-fd,29.673,0.009084
bfgs-fd,31.0787,0.009084
bfgs-fd,32.5509,0.009084
bfgs-fd,34.0929,0.009084
bfgs-fd,35.7079,0.009084
bfgs-fd,37.3994,0.009084
bfgs-fd,39.171,0.009084
bfgs-fd,41.0266,0.009084
bfgs-fd,42.97,0.009084
bfgs-fd,45.0056,0.009084
bfgs-fd,47.1375,0.009084
bfgs-fd,49.3705,0.009084
bfgs-fd,51.7092,0.009084
bfgs-fd,54.1587,0.009084
bfgs-fd,56.7243,0.009084
bfgs-fd,59.4113,0.009084
bfgs-fd,62.2257,0.009084
bfgs-fd,65.1734,0.009084
bfgs-fd,68.2607,0.009084
bfgs-fd,71.4943,0.009084
bfgs-fd,74.881,0.009084
bfgs-fd,78.4282,0.009084
bfgs-fd,82.1434,0.009084
bfgs-fd,86.0346,0.009084
bfgs-fd,90.1102,0.009084
bfgs-fd,94.3788,0.009084
bfgs-fd,98.8496,0.009084
bfgs-fd,103.532,0.009084
bfgs-fd,108.437,0.009084
bfgs-fd,113.573,0.009084
bfgs-fd,118.953,0.009084
bfgs-fd,124.588,0.009084
bfgs-fd,130.49,0.009084
bfgs-fd,136.672,0.009084
bfgs-fd,143.146,0.009084
bfgs-fd,149.927,0.009084
bfgs-fd,157.029,0.009084
bfgs-fd,164.468,0.009084
bfgs-fd,172.259,0.009084
bfgs-fd,180.419,0.009084
bfgs-fd,188.965,0.009084
bfgs-fd,197.917,0.009084
bfgs-fd,207.292,0.009084
bfgs-fd,217.112,0.009084
bfgs-fd,227.397,0.009084
bfgs-fd,238.169,0.009084
bfgs-fd,249.451,0.009084
bfgs-fd,261.268,0.009084
bfgs-fd,273.644,0.009084
bfgs-fd,286.607,0.009084
bfgs-fd,300.184,0.009084
bfgs-fd,314.404,0.009084
bfgs-fd,329.297,0.009084
bfgs-fd,344.896,0.009084
bfgs-fd,361.234,0.009084
bfgs-fd,378.346,0.009084
bfgs-fd,396.269,0.009084
bfgs-fd,415.04,0.009084
bfgs-fd,434.701,0.009084
bfgs-fd,455.294,0.009084
bfgs-fd,476.861,0.009084
bfgs-fd,499.451,0.009084
bfgs-fd,523.11,0.009084
bfgs-fd,547.89,0.009084
bfgs-fd,573.844,0.009084
bfgs-fd,601.028,0.009084
bfgs-fd,629.499,0.009084
bfgs-fd,659.319,0.009084
bfgs-fd,690.551,0.009084
bfgs-fd,723.263,0.009084
bfgs-fd,757.525,0.009084
bfgs-fd,793.41,0.009084
bfgs-fd,830.994,0.009084
bfgs-fd,870.359,0.009084
bfgs-fd,911.589,0.009084
bfgs-fd,954.772,0.009084
bfgs-fd,1000,0.009084
