solver,alpha,fraction
bfgs-fd,1.05956,0.000733
bfgs-fd,1.10975,0.000733
bfgs-fd,1.16232,0.001319
bfgs-fd,1.21738,0.001319
bfgs-fd,1.27505,0.001319
bfgs-fd,1.33545,0.001319
bfgs-fd,1.39871,0.001319
bfgs-fd,1.46497,0.001319
bfgs-fd,1.53437,0.001319
bfgs-fd,1.60705,0.001319
bfgs-fd,1.68318,0.001319
bfgs-fd,1.76291,0.001319
bfgs-fd,1.84642,0.001319
bfgs-fd,1.93389,0.001319
bfgs-fd,2.0255,0.001319
bfgs-fd,2.12145,0.002051
bfgs-fd,2.22195,0.002784
bfgs-fd,2.3272,0.002784
bfgs-fd,2.43744,0.002784
bfgs-fd,2.55291,0.002784
bfgs-fd,2.67384,0.002784
bfgs-fd,2.8005,0.002784
bfgs-fd,2.93317,0.002784
bfgs-fd,3.07211,0.004249
bfgs-fd,3.21764,0.005128
bfgs-fd,3.37006,0.005421
bfgs-fd,3.52971,0.005568
bfgs-fd,3.69691,0.005568
bfgs-fd,3.87204,0.005568
bfgs-fd,4.05546,0.005568
bfgs-fd,4.24757,0.005568
bfgs-fd,4.44878,0.005568
bfgs-fd,4.65953,0.005568
bfgs-fd,4.88025,0.005568
bfgs-fd,5.11143,0.005568
bfgs-fd,5.35357,0.005861
bfgs-fd,5.60717,0.005861
bfgs-fd,5.87279,0.005861
bfgs-fd,6.15099,0.006007
bfgs-fd,6.44236,0.006007
bfgs-fd,6.74754,0.006007
bfgs-fd,7.06718,0.006007
bfgs-fd,7.40196,0.006007
bfgs-fd,7.7526,0.006007
bfgs-fd,8.11984,0.006007
bfgs-fd,8.50449,0.006007
bfgs-fd,8.90735,0.006007
bfgs-fd,9.3293,0.006007
bfgs-fd,9.77124,0.006007
bfgs-fd,10.2341,0.006007
bfgs-fd,10.7189,0.006007
bfgs-fd,11.2267,0.006007
bfgs-fd,11.7585,0.006007
bfgs-fd,12.3155,0.006007
bfgs-fd,12.8989,0.006007
bfgs-fd,13.5099,0.006154
bfgs-fd,14.1499,0.006154
bfgs-fd,14.8202,0.006154
bfgs-fd,15.5223,0.006593
bfgs-fd,16.2576,0.006593
bfgs-fd,17.0277,0.006593
bfgs-fd,17.8343,0.006593
bfgs-fd,18.6791,0.006593
bfgs-fd,19.564,0.006593
bfgs-fd,20.4907,0.006593
bfgs-fd,21.4614,0.006593
bfgs-fd,22.4781,0.006593
bfgs-fd,23.5429,0.006593
bfgs-fd,24.6581,0.006593
bfgs-fd,25.8262,0.006593
bfgs-fd,27.0496,0.006593
bfgs-fd,28.331,0.006593
bfgs-fd,29.673,0.006593
bfgs-fd,31.0787,0.006593
bfgs-fd,32.5509,0.006593
bfgs-fd,34.0929,0.006593
bfgs-fd,35.7079,0.006593
bfgs-fd,37.3994,0.006593
bfgs-fd,39.171,0.006593
bfgs-fd,41.0266,0.006593
bfgs-fd,42.97,0.006593
bfgs-fd,45.0056,0.006593
bfgs-fd,47.1375,0.006593
bfgs-fd,49.3705,0.006593
bfgs-fd,51.7092,0.006593
bfgs-fd,54.1587,0.006593
bfgs-fd,56.7243,0.006593
bfgs-fd,59.4113,0.006593
bfgs-fd,62.2257,0.006593
bfgs-fd,65.1734,0.006593
bfgs-fd,68.2607,0.006593
bfgs-fd,71.4943,0.006593
bfgs-fd,74.881,0.006593
bfgs-fd,78.4282,0.006593
bfgs-fd,82.1434,0.006593
bfgs-fd,86.0346,0.006593
bfgs-fd,90.1102,0.006593
bfgs-fd,94.3788,0.006593
bfgs-fd,98.8496,0.006593
bfgs-fd,103.532,0.006593
bfgs-fd,108.437,0.006593
bfgs-fd,113.573,0.006593
bfgs-fd,118.953,0.006593
bfgs-fd,124.588,0.006593
bfgs-fd,130.49,0.006593
bfgs-fd,136.672,0.006593
bfgs-fd,143.146,0.006593
bfgs-fd,149.927,0.006593
bfgs-fd,157.029,0.006593
bfgs-fd,164.468,0.006593
bfgs-fd,172.259,0.006593
bfgs-fd,180.419,0.006593
bfgs-fd,188.965,0.006593
bfgs-fd,197.917,0.006593
bfgs-fd,207.292,0.006593
bfgs-fd,217.112,0.006593
bfgs-fd,227.397,0.006593
bfgs-fd,238.169,0.006593
bfgs-fd,249.451,0.006593
bfgs-fd,261.268,0.006593
bfgs-fd,273.644,0.006593
bfgs-fd,286.607,0.006593
bfgs-fd,300.184,0.006593
bfgs-fd,314.404,0.006593
bfgs-fd,329.297,0.006593
bfgs-fd,344.896,0.006593
bfgs-fd,361.234,0.006593
bfgs-fd,378.346,0.006593
bfgs-fd,396.269,0.006593
bfgs-fd,415.04,0.006593
bfgs-fd,434.701,0.006593
bfgs-fd,455.294,0.006593
bfgs-fd,476.861,0.006593
bfgs-fd,499.451,0.006593
bfgs-fd,523.11,0.006593
bfgs-fd,547.89,0.006593
bfgs-fd,573.844,0.006593
bfgs-fd,601.028,0.006593
bfgs-fd,629.499,0.006593
bfgs-fd,659.319,0.006593
bfgs-fd,690.551,0.006593
bfgs-fd,723.263,0.006593
bfgs-fd,757.525,0.006593
bfgs-fd,793.41,0.006593
bfgs-fd,830.994,0.006593
bfgs-fd,870.359,0.006593
bfgs-fd,911.589,0.006593
bfgs-fd,954.772,0.006593
bfgs-fd,1000,0.006593
